person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y,loan_status
23,54000,4.0,5200,11.71,0.1,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
40,90000,2.0,2800,10.65,0.03,14,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
22,50000,4.0,10000,6.17,0.2,3,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
37,52000,21.0,10000,11.71,0.19,14,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
26,60000,10.0,10000,13.49,0.17,3,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0
26,63000,3.0,3800,12.04,0.06,4,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0
28,48000,2.0,4000,10.99,0.08,7,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
28,59000,2.0,5000,15.23,0.08,6,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1
34,124000,3.0,12000,7.51,0.1,5,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0
44,50000,6.0,8500,10.99,0.17,15,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0
24,90996,0.0,8400,10.99,0.09,2,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
25,57000,8.0,2000,11.36,0.04,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
27,39000,0.0,8000,11.03,0.21,9,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
30,140250,0.0,20000,11.89,0.14,8,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
30,85000,5.0,5000,15.05,0.06,9,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0
27,40000,2.0,6000,10.99,0.15,9,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0
30,24000,14.0,5000,11.11,0.21,9,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1
35,80000,1.0,20000,13.98,0.25,7,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
23,28989,0.0,10000,8.0,0.34,2,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
24,140250,5.0,1800,11.12,0.01,3,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
21,32000,5.0,15000,11.09,0.47,3,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,1
23,92000,2.0,4000,5.42,0.04,2,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
37,60000,0.0,3000,12.53,0.05,15,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
31,56000,4.0,8000,8.59,0.14,6,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
35,24000,14.0,4000,7.49,0.17,7,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
25,75912,9.0,22400,9.99,0.3,4,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
29,79000,1.0,7000,10.99,0.09,9,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
29,70000,0.0,4000,10.99,0.06,5,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0
26,41000,10.0,5600,15.96,0.14,4,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
25,60000,1.0,5000,7.29,0.08,2,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
36,44000,4.0,16000,14.65,0.36,11,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1
28,70000,7.0,15000,14.65,0.21,10,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
26,40000,3.0,21000,6.54,0.53,4,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1
28,12000,1.0,1000,16.32,0.08,9,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1
